Year,Month,Bus,Total Trips,Total Passengers,
2018,May,G,0,0,
2018,June,G,0,0,
2018,July,G,0,0,
2018,August,G,0,0,
2018,September,G,0,0,
2018,October,G,0,0,
2018,November,G,0,0,
2018,December,G,0,0,
2018,January,H,92,2120,
2018,February,H,56,1464,
2018,March,H,0,0,
2018,April,H,0,0,
2018,May,H,0,0,
2018,June,H,0,0,
2018,July,H,0,0,
2018,August,H,0,0,
2018,September,H,0,0,
2018,October,H,0,0,
2018,November,H,0,0,
2018,December,H,0,0,
2019,January,1,20,1812,
2019,February,1,21,1787,
2019,March,1,18,1585,
2019,April,1,16,1151,
2019,May,1,8,556,
2019,June,1,2,0,
2019,July,1,0,0,
2019,August,1,0,0,
2019,September,1,10,937,
2019,October,1,0,0,
2019,November,1,0,0,
2019,December,1,0,0,
2019,January,2,25,776,
2019,February,2,22,1743,
2019,March,2,29,1244,
2019,April,2,18,1244,
2019,May,2,7,556,
2019,June,2,2,147,
2019,July,2,26,775,
2019,August,2,26,2181,
2019,September,2,15,937,
2019,October,2,13,1704,
2019,November,2,0,0,
2019,December,2,0,0,
2019,January,3,25,607,
2019,February,3,16,1307,
2019,March,3,14,434,
2019,April,3,18,1135,
2019,May,3,9,543,
2019,June,3,2,109,
2019,July,3,28,532,
2019,August,3,28,2773,
2019,September,3,12,92,
2019,October,3,15,1083,
2019,November,3,0,0,
2019,December,3,0,0,
2019,January,4,0,663,
2019,February,4,0,0,
2019,March,4,21,1175,
2019,April,4,18,1186,
2019,May,4,15,0,
2019,June,4,2,146,
2019,July,4,13,0,
2019,August,4,13,876,
2019,September,4,18,714,
2019,October,4,0,0,
2019,November,4,0,0,
2019,December,4,0,0,
2019,January,5,0,0,
2019,February,5,0,0,
2019,March,5,25,1032,
2019,April,5,18,897,
2019,May,5,10,0,
2019,June,5,0,0,
2019,July,5,24,593,
2019,August,5,24,2131,
2019,September,5,20,1363,
2019,October,5,20,1314,
2019,November,5,0,0,
2019,December,5,0,0,
2019,January,6,23,501,
2019,February,6,15,1098,
2019,March,6,20,1336,
2019,April,6,15,836,
2019,May,6,20,647,
2019,June,6,0,0,
2019,July,6,25,830,
2019,August,6,25,1668,
2019,September,6,15,910,
2019,October,6,0,0,
2019,November,6,0,0,
2019,December,6,0,0,
2019,January,7,18,708,
2019,February,7,17,746,
2019,March,7,21,661,
2019,April,7,18,896,
2019,May,7,20,661,
2019,June,7,0,107,
2019,July,7,27,0,
2019,August,7,0,675,
2019,September,7,21,758,
2019,October,7,0,0,
2019,November,7,0,0,
2019,December,7,0,0,
2019,January,8,10,653,
2019,February,8,27,1453,
2019,March,8,14,875,
2019,April,8,0,0,
2019,May,8,0,0,
2019,June,8,0,0,
2019,July,8,0,0,
2019,August,8,15,0,
2019,September,8,0,0,
2019,October,8,0,0,
2019,November,8,0,0,
2019,December,8,0,0,
2019,January,9,15,942,
2019,February,9,1,31,
2019,March,9,0,0,
2019,April,9,21,841,
2019,May,9,21,647,
2019,June,9,0,0,
2019,July,9,15,700,
2019,August,9,14,421,
2019,September,9,0,0,
2019,October,9,0,0,
2019,November,9,0,0,
2019,December,9,0,0,
2019,January,10,10,310,
2019,February,10,15,385,
2019,March,10,0,1514,
2019,April,10,10,449,
2019,May,10,10,521,
2019,June,10,0,0,
2019,July,10,14,667,
2019,August,10,0,975,
2019,September,10,0,1402,
2019,October,10,0,0,
2019,November,10,0,0,
2019,December,10,0,0,
2020,January,1,0,0,
2020,February,1,0,0,
2020,March,1,0,0,
2020,April,1,24,1267,
2020,May,1,0,0,
2020,June,1,0,0,
2020,July,1,0,0,
2020,August,1,0,0,
2020,September,1,0,0,
2020,October,1,0,0,
2020,November,1,0,0,
2020,December,1,0,0,
2020,January,2,0,0,
2020,February,2,26,1903,
2020,March,2,32,1160,
2020,April,2,0,0,
2020,May,2,0,0,
2020,June,2,0,0,
2020,July,2,0,0,
2020,August,2,0,0,
2020,September,2,0,0,
2020,October,2,0,0,
2020,November,2,0,0,
2020,December,2,1,77,
2020,January,3,16,925,
2020,February,3,20,618,
2020,March,3,21,618,
2020,April,3,0,0,
2020,May,3,0,0,
2020,June,3,5,303,
2020,July,3,3,282,
2020,August,3,17,1076,
2020,September,3,0,0,
2020,October,3,0,0,
2020,November,3,0,0,
2020,December,3,1,77,
2020,January,4,66,3071,
2020,February,4,0,0,
2020,March,4,0,0,
2020,April,4,0,0,
2020,May,4,0,0,
2020,June,4,0,0,
2020,July,4,0,0,
2020,August,4,0,0,
2020,September,4,0,0,
2020,October,4,0,0,
2020,November,4,0,0,
2020,December,4,0,0,
2020,January,5,60,1903,
2020,February,5,63,1534,
2020,March,5,33,720,
2020,April,5,6,135,
2020,May,5,5,101,
2020,June,5,6,262,
2020,July,5,12,445,
2020,August,5,9,1218,
2020,September,5,12,1177,
2020,October,5,4,665,
2020,November,5,3,586,
2020,December,5,0,0,
2020,January,6,1,53,
2020,February,6,10,2062,
2020,March,6,53,2168,
2020,April,6,55,2379,
2020,May,6,59,4538,
2020,June,6,0,0,
2020,July,6,26,2945,
2020,August,6,0,0,
2020,September,6,0,0,
2020,October,6,0,0,
2020,November,6,0,0,
2020,December,6,0,0,
2020,January,7,33,646,
2020,February,7,34,698,
2020,March,7,35,617,
2020,April,7,28,473,
2020,May,7,2,34,
2020,June,7,0,0,
2020,July,7,0,0,
2020,August,7,0,0,
2020,September,7,0,0,
2020,October,7,0,0,
2020,November,7,0,0,
2020,December,7,0,0,
2020,January,8,0,0,
2020,February,8,0,0,
2020,March,8,0,0,
2020,April,8,0,0,
2020,May,8,0,0,
2020,June,8,0,0,
2020,July,8,0,0,
2020,August,8,0,0,
2020,September,8,0,0,
2020,October,8,0,0,
2020,November,8,0,0,
2020,December,8,0,0,
2020,January,9,42,2021,
2020,February,9,38,2140,
2020,March,9,38,2002,
2020,April,9,0,0,
2020,May,9,0,0,
2020,June,9,3,338,
2020,July,9,21,1751,
2020,August,9,37,3930,
2020,September,9,0,0,
2020,October,9,0,0,
2020,November,9,0,0,
2020,December,9,0,0,
2020,January,10,0,0,
2020,February,10,0,0,
2020,March,10,0,0,
2020,April,10,0,0,
2020,May,10,0,0,
2020,June,10,0,0,
2020,July,10,0,0,
2020,August,10,0,0,
2020,September,10,11,428,
2020,October,10,5,152,
2020,November,10,4,101,
2020,December,10,0,0,
2020,January,C,0,0,
2020,February,C,9,165,
2020,March,C,70,1354,
2020,April,C,60,1145,
2020,May,C,9,175,
2020,June,C,0,0,
2020,July,C,0,0,
2020,August,C,0,0,
2020,September,C,0,0,
2020,October,C,0,0,
2020,November,C,0,0,
2020,December,C,0,0,
2021,January,1,0,0,
2021,February,1,0,0,
2021,March,1,0,0,
2021,April,1,0,0,
2021,May,1,0,0,
2021,June,1,0,0,
2021,July,1,0,0,
2021,August,1,0,0,
2021,September,1,0,0,
2021,October,1,0,0,
2021,November,1,0,0,
2021,December,1,0,0,
2021,January,2,0,0,
2021,February,2,0,0,
2021,March,2,0,0,
2021,April,2,0,0,
2021,May,2,0,0,
2021,June,2,0,0,
2021,July,2,0,0,
2021,August,2,0,0,
2021,September,2,0,0,
2021,October,2,0,0,
2021,November,2,0,0,
2021,December,2,0,0,
2021,January,3,0,0,
2021,February,3,0,0,
2021,March,3,0,0,
2021,April,3,0,0,
2021,May,3,0,0,
2021,June,3,0,0,
2021,July,3,0,0,
2021,August,3,0,0,
2021,September,3,0,0,
2021,October,3,0,0,
2021,November,3,0,0,
2021,December,3,0,0,
2021,January,4,0,0,
2021,February,4,0,0,
2021,March,4,0,0,
2021,April,4,12,195,
2021,May,4,27,363,
2021,June,4,13,331,
2021,July,4,0,0,
2021,August,4,0,0,
2021,September,4,0,0,
2021,October,4,19,707,
2021,November,4,0,0,
2021,December,4,0,0,
2021,January,5,0,0,
2021,February,5,0,0,
2021,March,5,6,179,
2021,April,5,5,99,
2021,May,5,6,107,
2021,June,5,1,15,
2021,July,5,1,37,
2021,August,5,0,0,
2021,September,5,0,0,
2021,October,5,16,313,
2021,November,5,27,619,
2021,December,5,30,781,
2021,January,6,38,803,
2021,February,6,107,2060,
2021,March,6,105,2153,
2021,April,6,60,1575,
2021,May,6,36,1207,
2021,June,6,34,1351,
2021,July,6,0,0,
2021,August,6,0,0,
2021,September,6,0,0,
2021,October,6,1,56,
2021,November,6,1,33,
2021,December,6,0,0,
2021,January,7,0,0,
2021,February,7,0,0,
2021,March,7,0,0,
2021,April,7,1,39,
2021,May,7,0,0,
2021,June,7,0,0,
2021,July,7,0,0,
2021,August,7,0,0,
2021,September,7,0,0,
2021,October,7,2,184,
2021,November,7,0,0,
2021,December,7,0,0,
2021,January,8,0,0,
2021,February,8,0,0,
2021,March,8,0,0,
2021,April,8,0,0,
2021,May,8,0,0,
2021,June,8,0,0,
2021,July,8,0,0,
2021,August,8,0,0,
2021,September,8,0,0,
2021,October,8,0,0,
2021,November,8,0,0,
2021,December,8,0,0,
2021,January,9,0,0,
2021,February,9,0,0,
2021,March,9,0,0,
2021,April,9,32,836,
2021,May,9,27,807,
2021,June,9,20,784,
2021,July,9,0,0,
2021,August,9,0,0,
2021,September,9,0,0,
2021,October,9,33,2991,
2021,November,9,0,0,
2021,December,9,0,0,
2021,January,10,83,2188,
2021,February,10,27,617,
2021,March,10,4,99,
2021,April,10,0,0,
2021,May,10,27,807,
2021,June,10,0,0,
2021,July,10,0,0,
2021,August,10,0,0,
2021,September,10,0,0,
2021,October,10,0,0,
2021,November,10,0,0,
2021,December,10,0,0,
2021,January,A,0,0,
2021,February,A,0,0,
2021,March,A,0,0,
2021,April,A,0,0,
2021,May,A,0,0,
2021,June,A,0,0,
2021,July,A,0,0,
2021,August,A,0,0,
2021,September,A,0,0,
2021,October,A,0,0,
2021,November,A,0,0,
2021,December,A,0,0,
2021,January,B,0,0,
2021,February,B,0,0,
2021,March,B,0,0,
2021,April,B,7,111,
2021,May,B,0,0,
2021,June,B,0,0,
2021,July,B,0,0,
2021,August,B,0,0,
2021,September,B,0,0,
2021,October,B,0,0,
2021,November,B,0,0,
2021,December,B,0,0,
2021,January,C,0,0,
2021,February,C,0,0,
2021,March,C,5,156,
2021,April,C,0,0,
2021,May,C,0,0,
2021,June,C,0,0,
2021,July,C,0,0,
2021,August,C,0,0,
2021,September,C,0,0,
2021,October,C,13,342,
2021,November,C,5,134,
2021,December,C,20,570,
2021,January,D,0,0,
2021,February,D,0,0,
2021,March,D,0,0,
2021,April,D,0,0,
2021,May,D,0,0,
2021,June,D,0,0,
2021,July,D,0,0,
2021,August,D,0,0,
2021,September,D,0,0,
2021,October,D,0,0,
2021,November,D,0,0,
2021,December,D,0,0,
2021,January,E,0,0,
2021,February,E,0,0,
2021,March,E,0,0,
2021,April,E,0,0,
2021,May,E,0,0,
2021,June,E,0,0,
2021,July,E,0,0,
2021,August,E,0,0,
2021,September,E,0,0,
2021,October,E,0,0,
2021,November,E,6,190,
2021,December,E,34,880,
2021,January,F,0,0,
2021,February,F,0,0,
2021,March,F,0,0,
2021,April,F,0,0,
2021,May,F,0,0,
2021,June,F,0,0,
2021,July,F,0,0,
2021,August,F,0,0,
2021,September,F,0,0,
2021,October,F,1,6,
2021,November,F,3,117,
2021,December,F,4,93,
2021,January,G,0,0,
2021,February,G,0,0,
2021,March,G,0,0,
2021,April,G,1,30,
2021,May,G,2,37,
2021,June,G,0,0,
2021,July,G,0,0,
2021,August,G,0,0,
2021,September,G,0,0,
2021,October,G,1,22,
2021,November,G,9,157,
2021,December,G,28,654,
2021,January,H,0,0,
2021,February,H,0,0,
2021,March,H,0,0,
2021,April,H,0,0,
2021,May,H,0,0,
2021,June,H,0,0,
2021,July,H,0,0,
2021,August,H,0,0,
2021,September,H,0,0,
2021,October,H,0,0,
2021,November,H,8,184,
2021,December,H,5,77,
2022,January,1,0,0,
2022,February,1,0,0,
2022,March,1,0,0,
2022,April,1,0,0,
2022,May,1,0,0,
2022,June,1,0,0,
2022,July,1,0,0,
2022,August,1,0,0,
2022,September,1,0,0,
2022,October,1,0,0,
2022,November,1,0,0,
2022,December,1,0,0,
2022,January,2,0,0,
2022,February,2,0,0,
2022,March,2,0,0,
2022,April,2,0,0,
2022,May,2,0,0,
2022,June,2,0,0,
2022,July,2,0,0,
2022,August,2,0,0,
2022,September,2,0,0,
2022,October,2,0,0,
2022,November,2,0,0,
2022,December,2,0,0,
2022,January,3,0,0,
2022,February,3,0,0,
2022,March,3,0,0,
2022,April,3,0,0,
2022,May,3,0,0,
2022,June,3,0,0,
2022,July,3,0,0,
2022,August,3,0,0,
2022,September,3,0,0,
2022,October,3,0,0,
2022,November,3,0,0,
2022,December,3,0,0,
2022,January,4,0,0,
2022,February,4,0,0,
2022,March,4,0,0,
2022,April,4,0,0,
2022,May,4,0,0,
2022,June,4,0,0,
2022,July,4,0,0,
2022,August,4,0,0,
2022,September,4,0,0,
2022,October,4,0,0,
2022,November,4,0,0,
2022,December,4,0,0,
2022,January,5,36,727,
2022,February,5,43,913,
2022,March,5,0,0,
2022,April,5,0,0,
2022,May,5,0,0,
2022,June,5,0,0,
2022,July,5,0,0,
2022,August,5,0,0,
2022,September,5,0,0,
2022,October,5,0,0,
2022,November,5,0,0,
2022,December,5,0,0,
2022,January,6,0,0,
2022,February,6,0,0,
2022,March,6,0,0,
2022,April,6,0,0,
2022,May,6,0,0,
2022,June,6,0,0,
2022,July,6,0,0,
2022,August,6,0,0,
2022,September,6,0,0,
2022,October,6,0,0,
2022,November,6,0,0,
2022,December,6,0,0,
2022,January,7,0,0,
2022,February,7,0,0,
2022,March,7,0,0,
2022,April,7,0,0,
2022,May,7,0,0,
2022,June,7,0,0,
2022,July,7,0,0,
2022,August,7,0,0,
2022,September,7,0,0,
2022,October,7,0,0,
2022,November,7,0,0,
2022,December,7,0,0,
2022,January,8,0,0,
2022,February,8,0,0,
2022,March,8,0,0,
2022,April,8,0,0,
2022,May,8,0,0,
2022,June,8,0,0,
2022,July,8,0,0,
2022,August,8,0,0,
2022,September,8,0,0,
2022,October,8,0,0,
2022,November,8,0,0,
2022,December,8,0,0,
2022,January,9,0,0,
2022,February,9,0,0,
2022,March,9,0,0,
2022,April,9,0,0,
2022,May,9,0,0,
2022,June,9,0,0,
2022,July,9,0,0,
2022,August,9,0,0,
2022,September,9,0,0,
2022,October,9,0,0,
2022,November,9,0,0,
2022,December,9,0,0,
2022,January,A,0,0,
2022,February,A,0,0,
2022,March,A,0,0,
2022,April,A,0,0,
2022,May,A,0,0,
2022,June,A,0,0,
2022,July,A,0,0,
2022,August,A,0,0,
2022,September,A,0,0,
2022,October,A,0,0,
2022,November,A,0,0,
2022,December,A,0,0,
2022,January,B,21,545,
2022,February,B,48,1399,
2022,March,B,0,0,
2022,April,B,0,0,
2022,May,B,0,0,
2022,June,B,0,0,
2022,July,B,0,0,
2022,August,B,0,0,
2022,September,B,0,0,
2022,October,B,0,0,
2022,November,B,0,0,
2022,December,B,0,0,
2022,January,C,84,1907,
2022,February,C,110,2986,
2022,March,C,174,5089,
2022,April,C,53,1608,
2022,May,C,0,0,
2022,June,C,0,0,
2022,July,C,0,0,
2022,August,C,0,0,
2022,September,C,0,0,
2022,October,C,0,0,
2022,November,C,0,0,
2022,December,C,0,0,
2022,January,D,73,1255,
2022,February,D,102,1968,
2022,March,D,49,1119,
2022,April,D,17,327,
2022,May,D,0,0,
2022,June,D,0,0,
2022,July,D,0,0,
2022,August,D,0,0,
2022,September,D,0,0,
2022,October,D,0,0,
2022,November,D,0,0,
2022,December,D,0,0,
2022,January,E,0,0,
2022,February,E,0,0,
2022,March,E,0,0,
2022,April,E,0,0,
2022,May,E,0,0,
2022,June,E,0,0,
2022,July,E,0,0,
2022,August,E,0,0,
2022,September,E,0,0,
2022,October,E,0,0,
2022,November,E,0,0,
2022,December,E,0,0,
2022,January,F,55,1064,
2022,February,F,68,1914,
2022,March,F,145,3605,
2022,April,F,5,113,
2022,May,F,0,0,
2022,June,F,0,0,
2022,July,F,0,0,
2022,August,F,0,0,
2022,September,F,0,0,
2022,October,F,0,0,
2022,November,F,0,0,
2022,December,F,0,0,
2022,January,G,0,0,
2022,February,G,0,0,
2022,March,G,0,0,
2022,April,G,0,0,
2022,May,G,0,0,
2022,June,G,0,0,
2022,July,G,0,0,
2022,August,G,0,0,
2022,September,G,0,0,
2022,October,G,0,0,
2022,November,G,0,0,
2022,December,G,0,0,
2022,January,H,44,821,
2022,February,H,65,1658,
2022,March,H,77,2272,
2022,April,H,0,0,
2022,May,H,0,0,
2022,June,H,0,0,
2022,July,H,0,0,
2022,August,H,0,0,
2022,September,H,0,0,
2022,October,H,0,0,
2022,November,H,0,0,
2022,December,H,0,0,
2023,January,1,0,0,
2023,February,1,0,0,
2023,March,1,0,0,
2023,April,1,0,0,
2023,May,1,53,1077,
2023,June,1,0,0,
2023,July,1,0,0,
2023,August,1,0,0,
2023,September,1,0,0,
2023,October,1,0,0,
2023,November,1,0,0,
2023,December,1,0,0,
2023,January,2,7,195,
2023,February,2,5,704,
2023,March,2,40,1721,
2023,April,2,6,200,
2023,May,2,43,1179,
2023,June,2,15,486,
2023,July,2,0,0,
2023,August,2,0,0,
2023,September,2,22,1162,
2023,October,2,0,0,
2023,November,2,0,0,
2023,December,2,0,0,
2023,January,3,0,0,
2023,February,3,0,0,
2023,March,3,0,0,
2023,April,3,0,0,
2023,May,3,0,0,
2023,June,3,0,0,
2023,July,3,20,663,
2023,August,3,19,790,
2023,September,3,2,136,
2023,October,3,0,0,
2023,November,3,0,0,
2023,December,3,0,0,
2023,January,4,0,0,
2023,February,4,0,0,
2023,March,4,0,0,
2023,April,4,0,0,
2023,May,4,0,0,
2023,June,4,0,0,
2023,July,4,0,0,
2023,August,4,0,0,
2023,September,4,0,0,
2023,October,4,0,0,
2023,November,4,0,0,
2023,December,4,0,0,
2023,January,5,0,0,
2023,February,5,0,0,
2023,March,5,0,0,
2023,April,5,0,0,
2023,May,5,1,59,
2023,June,5,0,0,
2023,July,5,0,0,
2023,August,5,0,0,
2023,September,5,0,0,
2023,October,5,0,0,
2023,November,5,0,0,
2023,December,5,0,0,
2023,January,6,0,0,
2023,February,6,0,0,
2023,March,6,0,0,
2023,April,6,0,0,
2023,May,6,0,0,
2023,June,6,0,0,
2023,July,6,0,0,
2023,August,6,0,0,
2023,September,6,0,0,
2023,October,6,0,0,
2023,November,6,0,0,
2023,December,6,0,0,
2023,January,7,0,0,
2023,February,7,0,0,
2023,March,7,0,0,
2023,April,7,0,0,
2023,May,7,0,0,
2023,June,7,0,0,
2023,July,7,0,0,
2023,August,7,0,0,
2023,September,7,0,0,
2023,October,7,0,0,
2023,November,7,23,1279,
2023,December,7,8,471,
2023,January,8,0,0,
2023,February,8,0,0,
2023,March,8,0,0,
2023,April,8,0,0,
2023,May,8,0,0,
2023,June,8,0,0,
2023,July,8,0,0,
2023,August,8,0,0,
2023,September,8,0,0,
2023,October,8,0,0,
2023,November,8,0,0,
2023,December,8,0,0,
2023,January,9,70,1604,
2023,February,9,0,0,
2023,March,9,8,290,
2023,April,9,27,1,
2023,May,9,20,523,
2023,June,9,32,882,
2023,July,9,30,728,
2023,August,9,2,68,
2023,September,9,10,349,
2023,October,9,0,0,
2023,November,9,6,379,
2023,December,9,0,0,
2023,January,10,0,0,
2023,February,10,0,0,
2023,March,10,0,0,
2023,April,10,0,0,
2023,May,10,21,464,
2023,June,10,0,0,
2023,July,10,16,390,
2023,August,10,1,48,
2023,September,10,0,0,
2023,October,10,0,0,
2023,November,10,1,29,
2023,December,10,0,0,
2023,January,A,0,0,
2023,February,A,0,0,
2023,March,A,55,2250,
2023,April,A,20,779,
2023,May,A,43,1348,
2023,June,A,45,1144,
2023,July,A,48,1247,
2023,August,A,24,987,
2023,September,A,35,1297,
2023,October,A,0,0,
2023,November,A,11,446,
2023,December,A,5,194,
2023,January,B,0,0,
2023,February,B,0,0,
2023,March,B,0,0,
2023,April,B,0,0,
2023,May,B,0,0,
2023,June,B,0,0,
2023,July,B,0,0,
2023,August,B,0,0,
2023,September,B,0,0,
2023,October,B,0,0,
2023,November,B,0,0,
2023,December,B,0,0,
2023,January,C,0,0,
2023,February,C,0,0,
2023,March,C,0,0,
2023,April,C,0,0,
2023,May,C,47,2974,
2023,June,C,27,1407,
2023,July,C,47,1387,
2023,August,C,34,1246,
2023,September,C,17,756,
2023,October,C,9,346,
2023,November,C,41,1985,
2023,December,C,29,860,
2023,January,D,0,0,
2023,February,D,0,0,
2023,March,D,22,662,
2023,April,D,7,242,
2023,May,D,34,1332,
2023,June,D,15,621,
2023,July,D,30,907,
2023,August,D,29,1175,
2023,September,D,42,1338,
2023,October,D,2,115,
2023,November,D,19,598,
2023,December,D,16,815,
2023,January,E,0,0,
2023,February,E,0,0,
2023,March,E,50,1465,
2023,April,E,24,761,
2023,May,E,35,1032,
2023,June,E,30,1139,
2023,July,E,46,1086,
2023,August,E,28,712,
2023,September,E,32,1521,
2023,October,E,15,570,
2023,November,E,12,520,
2023,December,E,2,116,
2023,January,F,0,0,
2023,February,F,0,0,
2023,March,F,0,0,
2023,April,F,0,0,
2023,May,F,0,0,
2023,June,F,0,0,
2023,July,F,0,0,
2023,August,F,0,0,
2023,September,F,0,0,
2023,October,F,0,0,
2023,November,F,0,0,
2023,December,F,0,0,
2023,January,G,0,0,
2023,February,G,0,0,
2023,March,G,0,0,
2023,April,G,0,0,
2023,May,G,0,0,
2023,June,G,0,0,
2023,July,G,0,0,
2023,August,G,0,0,
2023,September,G,0,0,
2023,October,G,0,0,
2023,November,G,0,0,
2023,December,G,0,0,
2023,January,H,0,0,
2023,February,H,0,0,
2023,March,H,17,514,
2023,April,H,18,510,
2023,May,H,21,464,
2023,June,H,21,707,
2023,July,H,26,734,
2023,August,H,3,126,
2023,September,H,18,829,
2023,October,H,0,0,
2023,November,H,1,29,
2023,December,H,0,0,
2024,January,A,52,2480,
2024,February,A,52,2343,
2024,March,A,40,2582,
2024,April,A,39,2124,
2024,May,A,60,2387,
2024,June,A,62,2014,
2024,July,A,58,1996,
2024,August,A,40,1544,
2024,September,A,23,1106,
2024,October,A,119,6745,
2024,November,A,90,6336,
2024,December,A,86,5602,
2024,January,B,0,0,
2024,February,B,0,0,
2024,March,B,0,0,
2024,April,B,0,0,
2024,May,B,0,0,
2024,June,B,0,0,
2024,July,B,0,0,
2024,August,B,0,0,
2024,September,B,0,0,
2024,October,B,46,3375,
2024,November,B,75,5036,
2024,December,B,0,0,
2024,January,C,54,1827,
2024,February,C,17,568,
2024,March,C,0,0,
2024,April,C,0,0,
2024,May,C,0,0,
2024,June,C,0,0,
2024,July,C,0,0,
2024,August,C,0,0,
2024,September,C,0,0,
2024,October,C,0,0,
2024,November,C,0,0,
2024,December,C,0,0,
2024,January,D,16,442,
2024,February,D,23,726,
2024,March,D,0,0,
2024,April,D,25,745,
2024,May,D,25,466,
2024,June,D,54,1373,
2024,July,D,8,182,
2024,August,D,0,0,
2024,September,D,0,0,
2024,October,D,0,0,
2024,November,D,0,0,
2024,December,D,0,0,
